date,commit,label,metric,value,unit,note
2026-09-10T12:55,dfb2ef2a,baseline,Coverage · Scrobble,74.04,%,coverage-all artefact 2026-09-08 09:13
2026-09-10T12:55,dfb2ef2a,baseline,Coverage · Subsonic,78.55,%,coverage-all artefact 2026-09-08 09:14
2026-09-10T12:55,dfb2ef2a,baseline,Coverage · SyncServer,91.46,%,coverage-all artefact 2026-09-08 09:14
2026-09-10T12:55,dfb2ef2a,baseline,Coverage · UI,24.47,%,coverage-all artefact 2026-09-08 15:36
2026-09-10T12:55,dfb2ef2a,baseline,Duplication percentage,,,no duplication scanner is installed or wired; the maintainability audit (docs/design-spec/maintainability-audit/findings-ledger.md) was a manual ledger
2026-09-10T12:55,dfb2ef2a,baseline,Dead code · Periphery scan,1609,,"all findings, tests included"
2026-09-10T12:55,dfb2ef2a,baseline,Dead code · unused declarations in sources,307,,
2026-09-10T12:55,dfb2ef2a,baseline,Dead code · assign-only properties in sources,302,,
2026-09-10T12:55,dfb2ef2a,baseline,Dead code · redundant public modifiers in sources,978,,
2026-09-10T12:55,dfb2ef2a,baseline,try? in sources,334,,occurrences
2026-09-10T12:55,dfb2ef2a,baseline,try? with an else { log } companion,1,,log call on the else line or the next
2026-09-10T12:55,dfb2ef2a,baseline,try? without a companion,333,,
2026-09-10T12:55,dfb2ef2a,baseline,nonisolated(unsafe) in sources,46,,
2026-09-10T12:55,dfb2ef2a,baseline,@unchecked Sendable in sources,30,,
2026-09-10T12:55,dfb2ef2a,baseline,@MainActor outside the UI layer,17,,Modules/* except UI; App is UI layer
2026-09-10T12:55,dfb2ef2a,baseline,TODO in sources,4,,whole word
2026-09-10T12:55,dfb2ef2a,baseline,FIXME in sources,0,,whole word
2026-09-10T12:55,dfb2ef2a,baseline,XCTSkip in sources,0,,whole word
2026-09-10T12:55,dfb2ef2a,baseline,fatalError in sources,13,,whole word
2026-09-10T12:55,dfb2ef2a,baseline,XCTSkip in tests,0,,whole word
2026-09-10T12:55,dfb2ef2a,baseline,Task { in sources,566,,
2026-09-10T12:55,dfb2ef2a,baseline,Task { outside the allowlist,566,,"Scripts/vital-signs.allowlist, 0 entries"
2026-09-10T12:55,dfb2ef2a,baseline,Timer.scheduledTimer in sources,1,,
2026-09-10T12:55,dfb2ef2a,baseline,Timer.scheduledTimer outside the allowlist,1,,"Scripts/vital-signs.allowlist, 0 entries"
2026-09-10T12:55,dfb2ef2a,baseline,sql: statements,378,,lines
2026-09-10T12:55,dfb2ef2a,baseline,sql: lines with interpolation,9,,contain \(
2026-09-10T12:55,dfb2ef2a,baseline,ADRs,90,,
2026-09-10T12:55,dfb2ef2a,baseline,ADRs with a status field,0,,
2026-09-10T12:55,dfb2ef2a,baseline,Clean build time · Release,93,s,"unsigned, arm64"
2026-09-10T12:55,dfb2ef2a,baseline,Cold start to first window,,,the app.bootstrap signpost exists (App/BocanApp.swift) but info-level log lines are not persisted to the unified log and no launch trace is automated
2026-09-10T12:55,dfb2ef2a,baseline,Library load time for the large fixture,,,no large fixture exists yet; the tracks.load and library.scan signposts exist
2026-09-10T12:55,dfb2ef2a,baseline,Hitch ratio for the standard playback scenario,,,no standard playback scenario or performance gate exists yet
2026-09-10T12:55,dfb2ef2a,baseline,Idle memory after 10 minutes of playback,,,the 10-minute playback protocol is not automated; sample a running instance by hand
